UF;CD_UF;CD_MUNICIPIO;MUN;POP_EST;CD_MUN_IBGE;CD_MUN;AREA_MUN;DENS_POP
SP;35.0;52809.0;Taboão da Serra;284274.0;3552809.0;3552809;20.388;13943.2
RJ;33.0;5109.0;São João de Meriti;466536.0;3305109.0;3305109;35.216;13247.8
SP;35.0;13801.0;Diadema;404118.0;3513801.0;3513801;30.732;13149.7
SP;35.0;34401.0;Osasco;756952.0;3534401.0;3534401;64.954;11653.7
SP;35.0;10609.0;Carapicuíba;398462.0;3510609.0;3510609;34.546;11534.2
SP;35.0;48807.0;São Caetano do Sul;172109.0;3548807.0;3548807;15.331;11226.2
PE;26.0;9600.0;Olinda;365402.0;2609600.0;2609600;41.3;8847.5
CE;23.0;4400.0;Fortaleza;2574412.0;2304400.0;2304400;312.353;8242.0
RJ;33.0;3203.0;Nilópolis;155544.0;3303203.0;3303203;19.393;8020.6
SP;35.0;50308.0;São Paulo;11895578.0;3550308.0;3550308;1521.202;7819.9
MG;31.0;6200.0;Belo Horizonte;2416339.0;3106200.0;3106200;331.354;7292.3
PE;26.0;11606.0;Recife;1587707.0;2611606.0;2611606;218.843;7255.0
SP;35.0;25003.0;Jandira;121988.0;3525003.0;3525003;17.449;6991.1
SP;35.0;29401.0;Mauá;429380.0;3529401.0;3529401;61.937;6932.5
RJ;33.0;456.0;Belford Roxo;518263.0;3300456.0;3300456;78.985;6561.5
SP;35.0;15707.0;Ferraz de Vasconcelos;185622.0;3515707.0;3515707;29.547;6282.3
SP;35.0;39806.0;Poá;106431.0;3539806.0;3539806;17.264;6164.9
RJ;33.0;4557.0;Rio de Janeiro;6729894.0;3304557.0;3304557;1200.329;5606.7
SP;35.0;5708.0;Barueri;330339.0;3505708.0;3505708;65.701;5027.9
RN;24.0;8102.0;Natal;785368.0;2408102.0;2408102;167.401;4691.5
SP;35.0;23107.0;Itaquaquecetuba;382521.0;3523107.0;3523107;82.622;4629.8
SP;35.0;47809.0;Santo André;778711.0;3547809.0;3547809;175.782;4430.0
RJ;33.0;2858.0;Mesquita;178803.0;3302858.0;3302858;41.169;4343.1
PB;25.0;7507.0;João Pessoa;888679.0;2507507.0;2507507;210.044;4230.9
SP;35.0;18800.0;Guarulhos;1345364.0;3518800.0;3518800;318.675;4221.7
PR;41.0;6902.0;Curitiba;1829225.0;4106902.0;4106902;434.892;4206.2
SP;35.0;19071.0;Hortolândia;247331.0;3519071.0;3519071;62.416;3962.6
